,Neighborhood,Borough,Longitude,Latitude,City
66,Stonestown,District 3 - Southwest,-122.47935985499998,37.721487944000046,"San Francisco, California"
67,Outer Mission,District 10 - Southeast,-122.44814527999995,37.71596470800006,"San Francisco, California"
68,Portola,District 10 - Southeast,-122.41186968699998,37.72593970100007,"San Francisco, California"
69,Eureka Valley / Dolores Heights,District 5 - Central,-122.43327049799996,37.758837741000036,"San Francisco, California"
70,Outer Parkside,District 2 - Central West,-122.50164771599998,37.74290184800003,"San Francisco, California"
71,Visitacion Valley,District 10 - Southeast,-122.41113068499999,37.71409078200003,"San Francisco, California"
72,South of Market,District 9 - Central East,-122.40909154499997,37.77516743700005,"San Francisco, California"
73,Parkside,District 2 - Central West,-122.48520186599995,37.74450044900004,"San Francisco, California"
74,Noe Valley,District 5 - Central,-122.43171054699997,37.748736989000065,"San Francisco, California"
75,Potrero Hill,District 9 - Central East,-122.39929710899997,37.759977079000066,"San Francisco, California"
76,Candlestick Point,District 10 - Southeast,-122.38652845299998,37.71357948100007,"San Francisco, California"
77,Excelsior,District 10 - Southeast,-122.42869486999996,37.72089127000004,"San Francisco, California"
78,Inner Sunset,District 2 - Central West,-122.46830118199995,37.760597922000045,"San Francisco, California"
79,Inner Mission,District 9 - Central East,-122.41355939599998,37.758369395000045,"San Francisco, California"
80,Lincoln Park,None,-122.50366161899996,37.78460028400008,"San Francisco, California"
81,Bernal Heights,District 9 - Central East,-122.41641020899999,37.739839836000044,"San Francisco, California"
82,Mission Bay,District 9 - Central East,-122.39082911599996,37.77034444200007,"San Francisco, California"
83,Central Waterfront/Dogpatch,District 9 - Central East,-122.38636974899998,37.75700020200003,"San Francisco, California"
84,Presidio,None,-122.46643812299999,37.79736202300006,"San Francisco, California"
85,Lake Shore,District 3 - Southwest,-122.49316020399999,37.72094519800004,"San Francisco, California"
86,Golden Gate Park,None,-122.48198052199996,37.76901767100003,"San Francisco, California"
87,Marina,District 7 - North,-122.43703501899995,37.80357179600003,"San Francisco, California"
88,Bayview,District 10 - Southeast,-122.38527163799995,37.720777284000064,"San Francisco, California"
89,South Beach,District 9 - Central East,-122.39186896499996,37.78372312700003,"San Francisco, California"
90,North Waterfront,District 8 - Northeast,-122.40916253299997,37.80736078700005,"San Francisco, California"
91,Hunters Point,District 10 - Southeast,-122.37291880499998,37.72624859600006,"San Francisco, California"
