Neighborhood,LONGITUDE,LATITUDE,OBJECTID,Shape__Area,Shape__Length
Rexdale-Kipling ,-79.56622841,43.72372548,16492145,4801397.484,9788.586534
Rockcliffe-Smythe ,-79.49442045,43.67479045,16492161,9700564.473,16065.59536
Roncesvalles ,-79.44299245,43.64612299,16492177,2875399.148,8521.476353
Rosedale-Moore Park ,-79.3796694,43.68282043,16492193,8933716.91,13367.47271
Rouge ,-79.18634345,43.82120126,16492209,72144023.66,50039.57853
Runnymede-Bloor West Village ,-79.48570818,43.65926882,16492225,3047728.391,9331.965156
Rustic ,-79.49809147,43.71160912,16492241,4015390.457,8151.876888
Scarborough Village ,-79.21681262,43.73865186,16492257,6040096.18,10973.56077
South Parkdale ,-79.43933783,43.63669952,16492273,4369538.914,14918.85484
South Riverdale ,-79.33565132,43.64929206,16492289,20956715.63,59561.02476
St.Andrew-Windfields ,-79.37903709,43.75624583,16492305,14001787.12,18026.0948
Steeles ,-79.32120701,43.81295883,16492321,8765411.32,12392.94286
Stonegate-Queensway ,-79.50112821,43.63551813,16492337,15181353.7,16379.80632
Tam O'Shanter-Sullivan ,-79.30291871,43.78012985,16492353,10408542.99,14891.48894
Taylor-Massey ,-79.29590112,43.69499819,16492369,2034614.363,8222.591693
The Beaches ,-79.2996013,43.67104999,16492385,6877394.375,15586.29767
Thistletown-Beaumond Heights ,-79.56349102,43.73798792,16492401,6402350.504,14990.73778
Thorncliffe Park ,-79.34998361,43.70774921,16492417,5987290.594,10380.55666
Trinity-Bellwoods ,-79.41534216,43.6501763,16492433,3306038.234,7385.141049
University ,-79.40117975,43.6625062,16492449,2687049.727,6872.849906
Victoria Village ,-79.31487383,43.72848902,16492465,9112591.637,16335.45805
Waterfront Communities-The Island ,-79.37720231,43.63388036,16492481,25629771.14,25382.70659
West Hill ,-79.17667603,43.76749026,16492497,18467681.32,20739.00821
West Humber-Clairville ,-79.59635645,43.7161804,16492513,57751307.4,38675.34782
Westminster-Branson ,-79.45241823,43.77881322,16492529,7040804.012,15929.51507
Weston ,-79.51572255,43.70271605,16492545,4912767.895,14113.24958
Weston-Pellam Park ,-79.46024391,43.67396204,16492561,2794056.953,7655.243605
