Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"University Park , Dallas, TX",32.846265,-96.790745,SpeeDee Oil Change & Auto Service,32.85085286,-96.78761974,Automotive Shop
"University Park , Dallas, TX",32.846265,-96.790745,Curtis Park Baseball Diamond,32.85107268181662,-96.79380731101854,Baseball Field
"University Park , Dallas, TX",32.846265,-96.790745,Hitzelberger Fountain,32.85108224984464,-96.78695092640947,Garden
"University Park , Dallas, TX",32.846265,-96.790745,Garage Door Repairs Belt Line,32.850461360442424,-96.79673910140991,Construction & Landscaping
"University Park , Dallas, TX",32.846265,-96.790745,normandy suites,32.83833967612405,-96.79049878036747,Spa
"University Park , Dallas, TX",32.846265,-96.790745,DCC Golf Course,32.84138030380777,-96.79923719236756,Golf Course
"University Park , Dallas, TX",32.846265,-96.790745,Burleson Park,32.84588573952734,-96.78015091795467,Park
"University Park , Dallas, TX",32.846265,-96.790745,Lovers Lane & Airline Road,32.85115982406782,-96.7818767683509,Intersection
"Uptown , Dallas, TX",32.803657,-96.798105,Velvet Taco,32.80543730183315,-96.79869127968539,Tex-Mex Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Bread Winners Café & Bakery,32.804497,-96.799473,Café
"Uptown , Dallas, TX",32.803657,-96.798105,Hopdoddy Burger Bar,32.8041655,-96.7996883,Burger Joint
"Uptown , Dallas, TX",32.803657,-96.798105,San Martin Bakery,32.802334,-96.799805,Bakery
"Uptown , Dallas, TX",32.803657,-96.798105,Katy Trail,32.80392651681581,-96.80132031440735,Trail
"Uptown , Dallas, TX",32.803657,-96.798105,Del Frisco's Grille,32.80401166937247,-96.79954068171524,American Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Hook Line & Sinker,32.80595682210794,-96.7986846606405,Seafood Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,The Boardroom Salon for Men - Uptown,32.806649844827355,-96.79854250515768,Salon / Barbershop
"Uptown , Dallas, TX",32.803657,-96.798105,The Original Pancake House,32.80484940593583,-96.79691406620152,Breakfast Spot
"Uptown , Dallas, TX",32.803657,-96.798105,Blue Sushi Sake Grill,32.803211361745376,-96.80000467591113,Japanese Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,West Village,32.80729802982262,-96.79704424311412,Shopping Mall
"Uptown , Dallas, TX",32.803657,-96.798105,The Rustic,32.80502635116377,-96.79417032137196,American Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Mutts Canine Cantina,32.80602250250253,-96.79513275302708,American Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Starbucks,32.80031841830816,-96.80094047041878,Coffee Shop
"Uptown , Dallas, TX",32.803657,-96.798105,Grimaldi's Pizzeria,32.8071280150741,-96.7960888572454,Pizza Place
"Uptown , Dallas, TX",32.803657,-96.798105,Gloria's,32.80721588724693,-96.80000401851187,Latin American Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Baboush,32.807401584614766,-96.79624599351021,Moroccan Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,The Magnolia,32.80792797126737,-96.79808324685898,Indie Movie Theater
"Uptown , Dallas, TX",32.803657,-96.798105,SoulCycle Uptown,32.80754642316633,-96.79747889297315,Cycle Studio
"Uptown , Dallas, TX",32.803657,-96.798105,Barry's Bootcamp,32.807080385560404,-96.79731556842039,Gym / Fitness Center
"Uptown , Dallas, TX",32.803657,-96.798105,Cork Wine Bar,32.807321576913154,-96.79625311980499,Wine Bar
"Uptown , Dallas, TX",32.803657,-96.798105,iFratelli Pizza,32.80059866944479,-96.80096222357723,Pizza Place
"Uptown , Dallas, TX",32.803657,-96.798105,Paciugo Gelato & Caffé,32.80796888460749,-96.79803873698535,Ice Cream Shop
"Uptown , Dallas, TX",32.803657,-96.798105,Canopy by Hilton,32.8068795,-96.7952538,Hotel
"Uptown , Dallas, TX",32.803657,-96.798105,pōk,32.807928089496976,-96.79802439525037,Sushi Restaurant
